날짜	Rainfall (mm)	GW level (m)
2020.7.21	0	3.91
2020.7.22	35.5	3.81
2020.7.23	53	3.73
2020.7.24	33.5	3.52
2020.7.25	12	3.48
2020.7.26	3	3.49
2020.7.27	6	3.54
2020.7.28	2	3.56
2020.7.29	42.5	3.35
2020.7.30	104	3.02
2020.7.31	0	3.1
2020.8.1	19.5	3.29
2020.8.2	14	3.38
2020.8.3	59.5	3.3
2020.8.4	21.5	3.07
2020.8.5	29.5	3.05
2020.8.6	22	3.17
2020.8.7	7	3.27
2020.8.8	28.5	3.39
2020.8.9	25	3.29
2020.8.10	23	3.31
2020.8.11	41	3.2
2020.8.12	10	3.16
2020.8.13	0	3.31
2020.8.14	0	3.46
2020.8.15	31.5	3.52
2020.8.16	0	3.55
2020.8.17	0	3.58
2020.8.18	0	3.62
2020.8.19	0	3.67
2020.8.20	0	3.69
2020.8.21	0	3.71
2020.8.22	2	3.74
2020.8.23	0	3.79
2020.8.24	0	3.85
2020.8.25	0	3.87
2020.8.26	2.5	3.9
2020.8.27	6	3.93
2020.8.28	36.5	3.88
2020.8.29	41	3.74
2020.8.30	0	3.55
2020.8.31	0	3.55
2020.9.1	0	3.63
2020.9.2	32.5	3.7
2020.9.3	51	3.6
2020.9.4	0	3.4
2020.9.5	0	3.48
2020.9.6	18	3.59
2020.9.7	33	3.71
2020.9.8	0	3.48
2020.9.9	6.5	3.5
2020.9.10	0	3.58
2020.9.11	1	3.57
2020.9.12	6	3.59
2020.9.13	0	3.62
2020.9.14	0	3.66
2020.9.15	0	3.7
2020.9.16	5	3.73
2020.9.17	2.5	3.95
2020.9.18	0	4.09
2020.9.19	7	4.07
2020.9.20	0	4.04
2020.9.21	0	4.04
2020.9.22	0	4.05
2020.9.23	0	4.1
2020.9.24	0	4.15
2020.9.25	0	4.19
2020.9.26	0	4.17
2020.9.27	0	4.16
2020.9.28	0	4.18
2020.9.29	0	4.24
2020.9.30	0	4.26
2020.10.1	0	4.25
2020.10.2	0	4.24
2020.10.3	10	4.23
2020.10.4	0.5	4.27
2020.10.5	0	4.23
2020.10.6	0	4.2
2020.10.7	0	4.16
2020.10.8	0	4.16
2020.10.9	0	4.19
2020.10.10	0	4.24
2020.10.11	0	4.26
2020.10.12	0	4.37
2020.10.13	0	4.23
2020.10.14	0	4.18
2020.10.15	0	4.17
2020.10.16	0	4.19
2020.10.17	0	4.2
2020.10.18	0	4.19
2020.10.19	0	4.18
2020.10.20	0	4.17
2020.10.21	0	4.23
2020.10.22	0	4.3
2020.10.23	0	4.3
2020.10.24	0	4.26
2020.10.25	0	4.24
2020.10.26	0	4.24
2020.10.27	0	4.24
2020.10.28	0	4.23
2020.10.29	0	4.21
2020.10.30	0	4.2
2020.10.31	0	4.2
2020.11.1	4.5	4.25
2020.11.2	0	4.25
2020.11.3	1	4.25
2020.11.4	0	4.21
2020.11.5	0	4.2
2020.11.6	0	4.24
2020.11.7	0	4.28
2020.11.8	0	4.26
2020.11.9	0	4.22
2020.11.10	0	4.2
2020.11.11	0	4.16
2020.11.12	0	4.18
2020.11.13	0	4.2
2020.11.14	0	4.2
2020.11.15	0	4.22
2020.11.16	0	4.22
2020.11.17	3	4.24
2020.11.18	1.5	4.31
2020.11.19	30	4.37
2020.11.20	0	4.26
2020.11.21	0	4.22
2020.11.22	3.5	4.23
2020.11.23	0	4.19
2020.11.24	0	4.19
2020.11.25	0	4.2
2020.11.26	0	4.21
2020.11.27	0	4.23
2020.11.28	0	4.21
2020.11.29	0	4.2
2020.11.30	0	4.16
2020.12.1	0	4.15
2020.12.2	0	4.21
2020.12.3	0	4.21
2020.12.4	0	4.21
2020.12.5	0	4.22
2020.12.6	0	4.23
2020.12.7	0	4.24
2020.12.8	0	4.23
2020.12.9	0	4.26
2020.12.10	0	4.29
2020.12.11	0	4.32
2020.12.12	0	4.34
2020.12.13	0	4.35
2020.12.14	0	4.26
2020.12.15	0	4.24
2020.12.16	0	4.23
2020.12.17	0	4.23
2020.12.18	0.5	4.26
2020.12.19	0	4.22
2020.12.20	0	4.23
2020.12.21	0	4.26
2020.12.22	0	4.28
2020.12.23	0	4.32
2020.12.24	0	4.37
2020.12.25	0	4.31
2020.12.26	0	4.29
2020.12.27	0	4.33
2020.12.28	0	4.32
2020.12.29	0	4.33
2020.12.30	0	4.33
